"MONTH","P_TC","P_PFPR","P_TACT","FREQ_plasmepsin_95","FREQ_plasmepsin_50","FREQ_plasmepsin_05","FREQ_580Y_95","FREQ_580Y_50","FREQ_580Y_05","FREQ_mdr1_95","FREQ_mdr1_50","FREQ_mdr1_05","FREQ_184F_95","FREQ_184F_50","FREQ_184F_05","FREQ_86Y_95","FREQ_86Y_50","FREQ_86Y_05","FREQ_76T_95","FREQ_76T_50","FREQ_76T_05"
96,0.25,0.001,"ASMQ_PPQ",0.23022335,0.0122259,0,0.43427205,0.1043225,0.0071781785,0.33573475,0.02187645,0,0.3279867,0.0449105,0,0.9737581,0.594811,0.15072125,0.97378085,0.716691,0.25145585
97,0.25,0.001,"ASMQ_PPQ",0.24350775,0.01157965,0,0.4278495,0.10084915,0.006079715,0.3096808,0.0259316,0,0.3203219,0.04479635,0,0.97491955,0.608754,0.14621575,0.97235425,0.7009635,0.254189
98,0.25,0.001,"ASMQ_PPQ",0.22641175,0.01310945,0,0.40555745,0.11293,0.007722345,0.32264915,0.0282051,0,0.29826955,0.0452034,0,0.97041685,0.6013245,0.14213334,0.95707735,0.6894705,0.2434547
99,0.25,0.001,"ASMQ_PPQ",0.22807,0.0135816,0,0.41548855,0.1012855,0.009049478,0.310525,0.0235303,0,0.2698049,0.0444263,0,0.97247315,0.597119,0.12641849,0.95924405,0.691732,0.2478487
100,0.25,0.001,"ASMQ_PPQ",0.1987383,0.0130542,0,0.4297669,0.104821,0.0094152665,0.33527745,0.02219945,0,0.2998614,0.0358989,0,0.9737803,0.594865,0.13597435,0.97091575,0.6935485,0.2427631
101,0.25,0.001,"ASMQ_PPQ",0.2034041,0.0114308,0,0.4250674,0.102721,0.0092866635,0.32871155,0.01979485,0,0.3397059,0.04323965,0,0.95559325,0.594643,0.14570075,0.9740907,0.690946,0.2525288
102,0.25,0.001,"ASMQ_PPQ",0.19793215,0.01178175,0,0.42575685,0.09930345,0.0068853345,0.34826905,0.01959885,0,0.31503405,0.04846955,0,0.96317135,0.615346,0.1696964,0.97789915,0.6953735,0.2681564
103,0.25,0.001,"ASMQ_PPQ",0.1911399,0.010521545,0,0.4243736,0.1013655,0.0061215985,0.3438694,0.0235044,0,0.35812645,0.04164775,0,0.96278475,0.612683,0.1480299,0.9820725,0.704932,0.26673005
104,0.25,0.001,"ASMQ_PPQ",0.21127005,0.01255965,0,0.438125,0.108876,0.006478096,0.3493287,0.02213565,0,0.35514415,0.044732,0,0.9682285,0.593925,0.11908475,0.9817282,0.7009565,0.28003465
105,0.25,0.001,"ASMQ_PPQ",0.2355546,0.0139867,0,0.42015385,0.104435,0.0093970445,0.35092455,0.02077935,0,0.3948757,0.0457692,0,0.96876385,0.6065005,0.1269108,0.98528265,0.703818,0.2661093
